device_id,device_name,room,type,power_rating,state,value,min,max
D58,AC_58,Bedroom,AC,1500,OFF,16,16,30
D59,Heater_59,Kitchen,Heater,2000,OFF,22,18,32
D60,Heater_60,Office,Heater,2000,ON,21,18,32
D61,Fan_61,Bedroom,Fan,75,ON,4,0,5
D62,AC_62,Kitchen,AC,1500,ON,16,16,30
D63,Heater_63,Bedroom,Heater,2000,ON,26,18,32
D64,AC_64,Bedroom,AC,1500,ON,25,16,30
D65,AC_65,Bedroom,AC,1500,OFF,17,16,30
D66,Light_66,LivingRoom,Light,20,ON,1,0,1
D67,Fan_67,Kitchen,Fan,75,ON,5,0,5
D68,Fan_68,Bedroom,Fan,75,OFF,3,0,5
D69,Light_69,Kitchen,Light,20,OFF,1,0,1
D70,AC_70,LivingRoom,AC,1500,OFF,25,16,30
D71,AC_71,LivingRoom,AC,1500,ON,24,16,30
D72,Fan_72,Bedroom,Fan,75,OFF,0,0,5
D73,Light_73,Kitchen,Light,20,OFF,0,0,1
D74,Heater_74,Kitchen,Heater,2000,ON,28,18,32
D75,Fan_75,LivingRoom,Fan,75,ON,2,0,5
D76,AC_76,LivingRoom,AC,1500,ON,20,16,30
D77,Fan_77,Bedroom,Fan,75,OFF,1,0,5
D78,Fan_78,Office,Fan,75,OFF,0,0,5
D79,AC_79,Office,AC,1500,OFF,16,16,30
D80,AC_80,Kitchen,AC,1500,ON,26,16,30
D81,Fan_81,Bedroom,Fan,75,OFF,4,0,5
D82,Heater_82,LivingRoom,Heater,2000,ON,19,18,32
D83,Light_83,LivingRoom,Light,20,OFF,0,0,1
D84,Heater_84,Bedroom,Heater,2000,ON,22,18,32
D85,Fan_85,LivingRoom,Fan,75,OFF,1,0,5
D86,Light_86,LivingRoom,Light,20,OFF,1,0,1
D87,Light_87,Bedroom,Light,20,ON,0,0,1
D88,Heater_88,LivingRoom,Heater,2000,ON,29,18,32
D89,Fan_89,Office,Fan,75,ON,2,0,5
D90,Light_90,LivingRoom,Light,20,OFF,0,0,1
D91,Heater_91,Bedroom,Heater,2000,ON,31,18,32
D92,Heater_92,Kitchen,Heater,2000,OFF,31,18,32
D93,Light_93,Bedroom,Light,20,ON,0,0,1
D94,Heater_94,Kitchen,Heater,2000,OFF,31,18,32
D95,AC_95,Kitchen,AC,1500,OFF,26,16,30
D96,Heater_96,Kitchen,Heater,2000,ON,19,18,32
D97,Fan_97,Bedroom,Fan,75,OFF,0,0,5
D98,AC_98,Office,AC,1500,OFF,27,16,30
D99,Fan_99,Office,Fan,75,ON,3,0,5
D100,Light_100,Kitchen,Light,20,ON,1,0,1
D101,AC_101,Bedroom,AC,1500,OFF,22,16,30
D102,AC_102,Kitchen,AC,1500,OFF,26,16,30
D103,AC_103,Kitchen,AC,1500,OFF,26,16,30
D104,Heater_104,Kitchen,Heater,2000,OFF,29,18,32
D105,Fan_105,Bedroom,Fan,75,ON,3,0,5
D106,Heater_106,Bedroom,Heater,2000,OFF,24,18,32
D107,AC_107,Kitchen,AC,1500,OFF,19,16,30
D108,Heater_108,Kitchen,Heater,2000,OFF,25,18,32
D109,Heater_109,Bedroom,Heater,2000,OFF,30,18,32
D110,Light_110,LivingRoom,Light,20,OFF,1,0,1
D111,AC_111,Bedroom,AC,1500,OFF,19,16,30
D112,Light_112,Bedroom,Light,20,ON,0,0,1
D113,Light_113,Office,Light,20,ON,1,0,1
D114,Heater_114,Bedroom,Heater,2000,OFF,25,18,32
D115,Heater_115,Bedroom,Heater,2000,ON,28,18,32
D116,AC_116,LivingRoom,AC,1500,OFF,19,16,30
D117,Light_117,Office,Light,20,ON,0,0,1
D118,AC_118,Office,AC,1500,ON,28,16,30
D119,Heater_119,Kitchen,Heater,2000,OFF,27,18,32
D120,Heater_120,Office,Heater,2000,ON,29,18,32
D121,Heater_121,Office,Heater,2000,OFF,30,18,32
D122,Light_122,Kitchen,Light,20,OFF,0,0,1
D123,Fan_123,Office,Fan,75,ON,5,0,5
D124,Fan_124,Bedroom,Fan,75,OFF,2,0,5
D125,Fan_125,LivingRoom,Fan,75,ON,1,0,5
D126,Light_126,Office,Light,20,ON,0,0,1
D127,AC_127,Office,AC,1500,OFF,21,16,30
D128,Heater_128,Office,Heater,2000,ON,21,18,32
D129,Heater_129,Office,Heater,2000,ON,31,18,32
D130,Heater_130,Office,Heater,2000,ON,23,18,32
D131,Fan_131,Office,Fan,75,OFF,4,0,5
D132,Light_132,Office,Light,20,ON,1,0,1
D133,Heater_133,Office,Heater,2000,ON,24,18,32
D134,Fan_134,Office,Fan,75,ON,3,0,5
D135,Light_135,LivingRoom,Light,20,OFF,0,0,1
D136,AC_136,Office,AC,1500,ON,29,16,30
D137,Heater_137,Bedroom,Heater,2000,ON,22,18,32
D138,Heater_138,Kitchen,Heater,2000,ON,25,18,32
D139,Fan_139,Kitchen,Fan,75,OFF,2,0,5
D140,Heater_140,Kitchen,Heater,2000,ON,25,18,32
D141,AC_141,LivingRoom,AC,1500,OFF,19,16,30
D142,AC_142,LivingRoom,AC,1500,ON,19,16,30
D143,Light_143,LivingRoom,Light,20,ON,0,0,1
D144,Light_144,Office,Light,20,ON,0,0,1
D145,Heater_145,Kitchen,Heater,2000,OFF,20,18,32
D146,AC_146,Bedroom,AC,1500,OFF,17,16,30
D147,AC_147,Kitchen,AC,1500,OFF,22,16,30
D148,Light_148,LivingRoom,Light,20,ON,0,0,1
D149,Fan_149,LivingRoom,Fan,75,ON,2,0,5
D150,Heater_150,Kitchen,Heater,2000,ON,26,18,32
D151,Fan_151,LivingRoom,Fan,75,OFF,3,0,5
D152,AC_152,Office,AC,1500,OFF,26,16,30
D153,Heater_153,Bedroom,Heater,2000,OFF,20,18,32
D154,Fan_154,Office,Fan,75,OFF,3,0,5
D155,Fan_155,Kitchen,Fan,75,ON,0,0,5
D156,Fan_156,Office,Fan,75,ON,3,0,5
D157,Heater_157,Kitchen,Heater,2000,ON,25,18,32
D158,Fan_158,Bedroom,Fan,75,OFF,1,0,5
D159,Fan_159,Kitchen,Fan,75,OFF,2,0,5
D160,Fan_160,LivingRoom,Fan,75,ON,0,0,5
D161,Light_161,Office,Light,20,OFF,0,0,1
D162,Heater_162,Office,Heater,2000,OFF,30,18,32
D163,AC_163,LivingRoom,AC,1500,OFF,19,16,30
D164,Heater_164,Bedroom,Heater,2000,OFF,28,18,32
D165,Fan_165,Office,Fan,75,OFF,3,0,5
D166,Fan_166,Kitchen,Fan,75,OFF,2,0,5
D167,Fan_167,Kitchen,Fan,75,ON,0,0,5
D168,Light_168,Kitchen,Light,20,ON,0,0,1
D169,Light_169,Bedroom,Light,20,OFF,1,0,1
D170,Fan_170,LivingRoom,Fan,75,ON,2,0,5
D171,Light_171,Kitchen,Light,20,ON,1,0,1
D172,AC_172,Bedroom,AC,1500,OFF,16,16,30
D173,AC_173,Kitchen,AC,1500,ON,26,16,30
D174,Heater_174,LivingRoom,Heater,2000,ON,27,18,32
D175,Fan_175,Office,Fan,75,OFF,3,0,5
D176,Fan_176,Bedroom,Fan,75,ON,2,0,5
D177,Heater_177,LivingRoom,Heater,2000,ON,24,18,32
D178,Heater_178,LivingRoom,Heater,2000,ON,20,18,32
D179,Light_179,Kitchen,Light,20,ON,0,0,1
D180,AC_180,Office,AC,1500,ON,28,16,30
D181,Heater_181,Office,Heater,2000,OFF,22,18,32
D182,Heater_182,Kitchen,Heater,2000,ON,27,18,32
D183,AC_183,Bedroom,AC,1500,ON,20,16,30
D184,AC_184,Bedroom,AC,1500,ON,18,16,30
D185,AC_185,Bedroom,AC,1500,ON,22,16,30
D186,Heater_186,Office,Heater,2000,OFF,18,18,32
D187,Light_187,Kitchen,Light,20,OFF,1,0,1
D188,AC_188,Bedroom,AC,1500,OFF,28,16,30
D189,Light_189,Office,Light,20,ON,0,0,1
D190,Light_190,Kitchen,Light,20,ON,0,0,1
D191,AC_191,Bedroom,AC,1500,OFF,25,16,30
D192,Fan_192,Office,Fan,75,ON,3,0,5
D193,Fan_193,Office,Fan,75,OFF,4,0,5
D194,Heater_194,Office,Heater,2000,ON,27,18,32
D195,AC_195,Office,AC,1500,OFF,25,16,30
D196,Fan_196,LivingRoom,Fan,75,ON,1,0,5
D197,AC_197,Kitchen,AC,1500,ON,28,16,30
D198,Light_198,Office,Light,20,OFF,1,0,1
D199,Light_199,Office,Light,20,OFF,0,0,1
D200,Heater_200,Kitchen,Heater,2000,OFF,23,18,32
D201,Fan_201,LivingRoom,Fan,75,ON,2,0,5
D202,Heater_202,Office,Heater,2000,OFF,28,18,32
D203,Heater_203,LivingRoom,Heater,2000,OFF,19,18,32
D204,Fan_204,Kitchen,Fan,75,OFF,0,0,5
D205,Heater_205,LivingRoom,Heater,2000,OFF,24,18,32
D206,AC_206,Bedroom,AC,1500,OFF,25,16,30
D207,Heater_207,Office,Heater,2000,ON,21,18,32
D208,Fan_208,Bedroom,Fan,75,OFF,3,0,5
D209,Heater_209,LivingRoom,Heater,2000,ON,28,18,32
D210,Light_210,Bedroom,Light,20,OFF,0,0,1
D211,Heater_211,LivingRoom,Heater,2000,ON,31,18,32
D212,AC_212,Office,AC,1500,ON,26,16,30
D213,Light_213,Office,Light,20,OFF,1,0,1
D214,Heater_214,Office,Heater,2000,OFF,21,18,32
D215,Heater_215,Bedroom,Heater,2000,OFF,21,18,32
D216,Light_216,LivingRoom,Light,20,OFF,1,0,1
D217,Fan_217,Kitchen,Fan,75,ON,2,0,5
D218,Fan_218,Office,Fan,75,ON,3,0,5
D219,Heater_219,Kitchen,Heater,2000,OFF,26,18,32
D220,Heater_220,Office,Heater,2000,OFF,31,18,32
D221,Light_221,Bedroom,Light,20,OFF,0,0,1
D222,Heater_222,LivingRoom,Heater,2000,OFF,29,18,32
D223,Heater_223,Office,Heater,2000,OFF,28,18,32
D224,Light_224,Office,Light,20,ON,0,0,1
D225,Fan_225,LivingRoom,Fan,75,OFF,0,0,5
D226,Heater_226,LivingRoom,Heater,2000,ON,24,18,32
D227,Light_227,LivingRoom,Light,20,OFF,1,0,1
D228,Fan_228,Office,Fan,75,ON,2,0,5
D229,Heater_229,Kitchen,Heater,2000,OFF,31,18,32
D230,AC_230,LivingRoom,AC,1500,ON,26,16,30
D231,Fan_231,Bedroom,Fan,75,ON,3,0,5
D232,AC_232,LivingRoom,AC,1500,OFF,18,16,30
D233,Fan_233,LivingRoom,Fan,75,ON,2,0,5
D234,AC_234,Kitchen,AC,1500,OFF,21,16,30
D235,Heater_235,Bedroom,Heater,2000,ON,26,18,32
D236,Heater_236,Bedroom,Heater,2000,ON,20,18,32
D237,AC_237,Office,AC,1500,ON,23,16,30
D238,Light_238,Bedroom,Light,20,OFF,1,0,1
D239,Heater_239,Kitchen,Heater,2000,ON,32,18,32
D240,Heater_240,Kitchen,Heater,2000,ON,19,18,32
D241,Heater_241,Kitchen,Heater,2000,OFF,28,18,32
D242,Heater_242,Kitchen,Heater,2000,OFF,31,18,32
D243,Fan_243,Bedroom,Fan,75,OFF,3,0,5
D244,AC_244,Bedroom,AC,1500,OFF,25,16,30
D245,Fan_245,Kitchen,Fan,75,OFF,0,0,5
D246,Heater_246,Kitchen,Heater,2000,ON,27,18,32
D247,AC_247,Office,AC,1500,OFF,28,16,30
D248,Light_248,Kitchen,Light,20,ON,0,0,1
D249,Fan_249,Bedroom,Fan,75,ON,5,0,5
D250,AC_250,Kitchen,AC,1500,OFF,16,16,30
D251,Fan_251,Bedroom,Fan,75,ON,2,0,5
D252,Fan_252,Office,Fan,75,ON,1,0,5
D253,Light_253,Kitchen,Light,20,OFF,0,0,1
D254,Fan_254,Office,Fan,75,OFF,5,0,5
D255,Fan_255,LivingRoom,Fan,75,OFF,0,0,5
D256,Light_256,Bedroom,Light,20,OFF,1,0,1
D257,AC_257,Office,AC,1500,ON,20,16,30
D258,AC_258,Office,AC,1500,OFF,26,16,30
D259,Fan_259,Office,Fan,75,OFF,0,0,5
D260,Light_260,Office,Light,20,ON,1,0,1
D261,Light_261,LivingRoom,Light,20,OFF,1,0,1
D262,Heater_262,LivingRoom,Heater,2000,ON,18,18,32
D263,AC_263,Kitchen,AC,1500,OFF,17,16,30
D264,AC_264,Bedroom,AC,1500,ON,22,16,30
D265,Heater_265,Kitchen,Heater,2000,OFF,27,18,32
D266,Light_266,Office,Light,20,ON,1,0,1
D267,Heater_267,Kitchen,Heater,2000,ON,29,18,32
D268,Fan_268,Bedroom,Fan,75,OFF,3,0,5
D269,Light_269,Kitchen,Light,20,ON,1,0,1
D270,Fan_270,LivingRoom,Fan,75,OFF,2,0,5
D271,Light_271,LivingRoom,Light,20,OFF,0,0,1
D272,Light_272,LivingRoom,Light,20,ON,1,0,1
D273,Light_273,Bedroom,Light,20,ON,0,0,1
D274,Light_274,Bedroom,Light,20,ON,1,0,1
D275,Light_275,LivingRoom,Light,20,OFF,0,0,1
D276,Light_276,Kitchen,Light,20,ON,0,0,1
D277,AC_277,Bedroom,AC,1500,ON,21,16,30
D278,Light_278,Kitchen,Light,20,ON,0,0,1
D279,Fan_279,LivingRoom,Fan,75,ON,5,0,5
D280,Heater_280,LivingRoom,Heater,2000,ON,25,18,32
D281,Heater_281,Kitchen,Heater,2000,ON,25,18,32
D282,Light_282,LivingRoom,Light,20,OFF,1,0,1
D283,AC_283,LivingRoom,AC,1500,OFF,29,16,30
D284,Heater_284,Office,Heater,2000,ON,25,18,32
D285,Heater_285,LivingRoom,Heater,2000,ON,23,18,32
D286,Light_286,LivingRoom,Light,20,ON,1,0,1
D287,Fan_287,Office,Fan,75,OFF,3,0,5
D288,Heater_288,LivingRoom,Heater,2000,ON,31,18,32
D289,Light_289,Office,Light,20,OFF,0,0,1
D290,Heater_290,Kitchen,Heater,2000,OFF,24,18,32
D291,Heater_291,LivingRoom,Heater,2000,OFF,24,18,32
D292,Fan_292,Kitchen,Fan,75,OFF,1,0,5
D293,Heater_293,LivingRoom,Heater,2000,ON,31,18,32
D294,AC_294,LivingRoom,AC,1500,OFF,17,16,30
D295,Fan_295,Bedroom,Fan,75,ON,4,0,5
D296,Fan_296,LivingRoom,Fan,75,OFF,2,0,5
D297,Heater_297,LivingRoom,Heater,2000,OFF,27,18,32
D298,Fan_298,Kitchen,Fan,75,ON,4,0,5
D299,Light_299,Bedroom,Light,20,OFF,0,0,1
D300,AC_300,Kitchen,AC,1500,OFF,17,16,30
D301,Fan_301,Bedroom,Fan,75,OFF,4,0,5
D302,AC_302,Kitchen,AC,1500,ON,18,16,30
D303,Fan_303,Kitchen,Fan,75,OFF,2,0,5
D304,AC_304,Bedroom,AC,1500,ON,25,16,30
D305,Heater_305,LivingRoom,Heater,2000,ON,29,18,32
D306,AC_306,LivingRoom,AC,1500,ON,22,16,30
D307,Heater_307,Office,Heater,2000,OFF,20,18,32
D308,Fan_308,Kitchen,Fan,75,OFF,4,0,5
D309,AC_309,LivingRoom,AC,1500,ON,18,16,30
D310,AC_310,LivingRoom,AC,1500,OFF,23,16,30
D311,Heater_311,Office,Heater,2000,OFF,24,18,32
D312,Fan_312,Bedroom,Fan,75,ON,2,0,5
D313,Heater_313,LivingRoom,Heater,2000,OFF,28,18,32
D314,Heater_314,Kitchen,Heater,2000,ON,21,18,32
D315,Heater_315,LivingRoom,Heater,2000,ON,21,18,32
D316,Fan_316,Bedroom,Fan,75,ON,2,0,5
D317,Fan_317,Kitchen,Fan,75,ON,0,0,5
D318,Heater_318,Office,Heater,2000,ON,20,18,32
D319,Heater_319,Bedroom,Heater,2000,OFF,19,18,32
D320,Heater_320,LivingRoom,Heater,2000,OFF,18,18,32
D321,Heater_321,LivingRoom,Heater,2000,OFF,27,18,32
D322,Heater_322,Office,Heater,2000,OFF,22,18,32
D323,AC_323,Office,AC,1500,ON,21,16,30
D324,Light_324,Office,Light,20,OFF,0,0,1
D325,Heater_325,LivingRoom,Heater,2000,ON,24,18,32
D326,Heater_326,LivingRoom,Heater,2000,OFF,31,18,32
D327,Fan_327,Kitchen,Fan,75,ON,2,0,5
D328,Light_328,LivingRoom,Light,20,ON,0,0,1
D329,Fan_329,Kitchen,Fan,75,ON,1,0,5
D330,AC_330,Bedroom,AC,1500,OFF,19,16,30
D331,Light_331,Bedroom,Light,20,ON,0,0,1
D332,Heater_332,Office,Heater,2000,OFF,28,18,32
D333,Fan_333,Kitchen,Fan,75,ON,3,0,5
D334,AC_334,Office,AC,1500,OFF,26,16,30
D335,Fan_335,Kitchen,Fan,75,ON,2,0,5
D336,AC_336,Kitchen,AC,1500,OFF,23,16,30
D337,AC_337,LivingRoom,AC,1500,OFF,29,16,30
D338,Fan_338,LivingRoom,Fan,75,ON,4,0,5
D339,Heater_339,Office,Heater,2000,ON,25,18,32
D340,Light_340,Kitchen,Light,20,OFF,0,0,1
D341,AC_341,Office,AC,1500,ON,28,16,30
D342,Fan_342,LivingRoom,Fan,75,ON,0,0,5
D343,Light_343,Office,Light,20,OFF,0,0,1
D344,Fan_344,Kitchen,Fan,75,OFF,3,0,5
D345,Heater_345,Kitchen,Heater,2000,ON,30,18,32
D346,Fan_346,LivingRoom,Fan,75,OFF,0,0,5
D347,Heater_347,Kitchen,Heater,2000,OFF,29,18,32
D348,Light_348,Kitchen,Light,20,ON,0,0,1
D349,Fan_349,Kitchen,Fan,75,OFF,1,0,5
D350,AC_350,Kitchen,AC,1500,OFF,26,16,30
D351,Fan_351,Bedroom,Fan,75,ON,5,0,5
D352,Heater_352,Kitchen,Heater,2000,ON,23,18,32
D353,Fan_353,Bedroom,Fan,75,ON,2,0,5
D354,Heater_354,Bedroom,Heater,2000,ON,20,18,32
D355,Light_355,LivingRoom,Light,20,OFF,0,0,1
D356,AC_356,Kitchen,AC,1500,ON,25,16,30
D357,Heater_357,Bedroom,Heater,2000,ON,20,18,32
D358,Light_358,Office,Light,20,ON,1,0,1
D359,Fan_359,Bedroom,Fan,75,OFF,4,0,5
D360,Fan_360,Office,Fan,75,ON,4,0,5
D361,Light_361,Kitchen,Light,20,OFF,0,0,1
D362,Fan_362,Office,Fan,75,OFF,2,0,5
D363,Heater_363,Office,Heater,2000,ON,31,18,32
D364,Light_364,Bedroom,Light,20,OFF,0,0,1
D365,Heater_365,Kitchen,Heater,2000,ON,29,18,32
D366,AC_366,Kitchen,AC,1500,ON,28,16,30
D367,Light_367,Kitchen,Light,20,OFF,0,0,1
D368,Heater_368,LivingRoom,Heater,2000,ON,31,18,32
D369,Heater_369,Kitchen,Heater,2000,ON,24,18,32
D370,AC_370,Office,AC,1500,OFF,19,16,30
D371,Heater_371,LivingRoom,Heater,2000,OFF,21,18,32
D372,AC_372,Kitchen,AC,1500,ON,29,16,30
D373,Fan_373,Bedroom,Fan,75,ON,0,0,5
D374,Fan_374,Office,Fan,75,ON,5,0,5
D375,Heater_375,Office,Heater,2000,ON,32,18,32
D376,AC_376,LivingRoom,AC,1500,OFF,19,16,30
D377,Light_377,Office,Light,20,ON,1,0,1
D378,Light_378,Kitchen,Light,20,ON,0,0,1
D379,Light_379,Office,Light,20,OFF,0,0,1
D380,AC_380,Office,AC,1500,ON,26,16,30
D381,Light_381,Bedroom,Light,20,OFF,1,0,1
D382,AC_382,Kitchen,AC,1500,ON,25,16,30
D383,Heater_383,Bedroom,Heater,2000,ON,26,18,32
D384,Fan_384,LivingRoom,Fan,75,ON,3,0,5
D385,Heater_385,LivingRoom,Heater,2000,OFF,23,18,32
D386,Fan_386,LivingRoom,Fan,75,OFF,0,0,5
D387,Fan_387,Bedroom,Fan,75,ON,4,0,5
D388,Fan_388,Bedroom,Fan,75,ON,2,0,5
D389,Fan_389,Bedroom,Fan,75,OFF,5,0,5
D390,Heater_390,Bedroom,Heater,2000,ON,19,18,32
D391,Heater_391,LivingRoom,Heater,2000,OFF,21,18,32
D392,AC_392,Bedroom,AC,1500,ON,21,16,30
D393,Fan_393,Office,Fan,75,OFF,2,0,5
D394,AC_394,Bedroom,AC,1500,OFF,21,16,30
D395,AC_395,Kitchen,AC,1500,OFF,17,16,30
D396,Fan_396,Office,Fan,75,OFF,5,0,5
D397,Heater_397,Office,Heater,2000,OFF,20,18,32
D398,Heater_398,Office,Heater,2000,OFF,32,18,32
D399,Fan_399,LivingRoom,Fan,75,OFF,0,0,5
D400,Heater_400,Bedroom,Heater,2000,OFF,23,18,32
D401,AC_401,LivingRoom,AC,1500,OFF,26,16,30
D402,Fan_402,Kitchen,Fan,75,OFF,4,0,5
D403,Heater_403,Bedroom,Heater,2000,OFF,23,18,32
D404,Heater_404,LivingRoom,Heater,2000,OFF,27,18,32
D405,Heater_405,Kitchen,Heater,2000,ON,19,18,32
D406,Heater_406,Kitchen,Heater,2000,ON,18,18,32
D407,Light_407,Office,Light,20,ON,0,0,1
D408,AC_408,Bedroom,AC,1500,OFF,21,16,30
D409,Heater_409,LivingRoom,Heater,2000,ON,28,18,32
D410,Heater_410,Kitchen,Heater,2000,OFF,25,18,32
D411,AC_411,Bedroom,AC,1500,OFF,22,16,30
D412,Fan_412,Kitchen,Fan,75,ON,0,0,5
D413,AC_413,Bedroom,AC,1500,OFF,24,16,30
D414,Heater_414,LivingRoom,Heater,2000,OFF,30,18,32
D415,Fan_415,Office,Fan,75,ON,4,0,5
D416,Fan_416,Office,Fan,75,ON,0,0,5
D417,Light_417,LivingRoom,Light,20,OFF,0,0,1
D418,Heater_418,LivingRoom,Heater,2000,OFF,28,18,32
D419,Fan_419,LivingRoom,Fan,75,OFF,2,0,5
D420,Light_420,Bedroom,Light,20,OFF,0,0,1
D421,AC_421,Bedroom,AC,1500,ON,19,16,30
D422,Heater_422,LivingRoom,Heater,2000,OFF,26,18,32
D423,Fan_423,Office,Fan,75,ON,4,0,5
D424,AC_424,LivingRoom,AC,1500,OFF,22,16,30
D425,Heater_425,Office,Heater,2000,OFF,31,18,32
D426,AC_426,Bedroom,AC,1500,OFF,26,16,30
D427,AC_427,Office,AC,1500,OFF,26,16,30
D428,Fan_428,Bedroom,Fan,75,ON,1,0,5
D429,Heater_429,LivingRoom,Heater,2000,ON,26,18,32
D430,Light_430,Kitchen,Light,20,ON,0,0,1
D431,Fan_431,Bedroom,Fan,75,OFF,4,0,5
D432,Fan_432,LivingRoom,Fan,75,OFF,1,0,5
D433,Fan_433,Bedroom,Fan,75,OFF,4,0,5
D434,AC_434,Bedroom,AC,1500,ON,18,16,30
D435,Fan_435,LivingRoom,Fan,75,ON,0,0,5
D436,AC_436,Kitchen,AC,1500,ON,28,16,30
D437,Heater_437,LivingRoom,Heater,2000,OFF,32,18,32
D438,Fan_438,Kitchen,Fan,75,OFF,1,0,5
D439,Heater_439,Kitchen,Heater,2000,OFF,19,18,32
D440,AC_440,Bedroom,AC,1500,OFF,22,16,30
D441,Heater_441,Office,Heater,2000,ON,23,18,32
D442,Light_442,Kitchen,Light,20,OFF,1,0,1
D443,Heater_443,Bedroom,Heater,2000,OFF,26,18,32
D444,AC_444,Kitchen,AC,1500,ON,23,16,30
D445,AC_445,Kitchen,AC,1500,OFF,19,16,30
D446,Light_446,LivingRoom,Light,20,ON,1,0,1
D447,Heater_447,Office,Heater,2000,ON,31,18,32
D448,Light_448,Kitchen,Light,20,OFF,0,0,1
D449,Light_449,Office,Light,20,OFF,1,0,1
D450,Fan_450,Office,Fan,75,ON,0,0,5
D451,Heater_451,Office,Heater,2000,ON,21,18,32
D452,Fan_452,LivingRoom,Fan,75,ON,2,0,5
D453,Heater_453,Office,Heater,2000,OFF,26,18,32
D454,AC_454,LivingRoom,AC,1500,OFF,18,16,30
D455,Fan_455,Kitchen,Fan,75,OFF,2,0,5
D456,AC_456,Office,AC,1500,ON,25,16,30
D457,Light_457,Kitchen,Light,20,OFF,0,0,1
D458,Heater_458,Office,Heater,2000,OFF,31,18,32
D459,AC_459,Bedroom,AC,1500,ON,22,16,30
D460,Fan_460,Kitchen,Fan,75,OFF,1,0,5
D461,Light_461,Office,Light,20,ON,0,0,1
D462,AC_462,Bedroom,AC,1500,OFF,28,16,30
D463,Heater_463,Office,Heater,2000,ON,27,18,32
D464,Light_464,Kitchen,Light,20,OFF,0,0,1
D465,Heater_465,Kitchen,Heater,2000,OFF,26,18,32
D466,Heater_466,Kitchen,Heater,2000,OFF,31,18,32
D467,AC_467,Kitchen,AC,1500,OFF,26,16,30
