rule_id,condition,condition_device,operator,value,action_device,action,action_value,priority
R126,time,Light,>,26,Light,SET,30,5
R127,time,AC,<,16,AC,ON,19,5
R128,occupancy,Fan,>,33,Light,SET,17,1
R129,time,Fan,<,23,Fan,SET,26,1
R130,time,Light,=,17,Light,SET,18,4
R131,temperature,AC,<,29,Light,ON,20,1
R132,occupancy,Light,>,21,Fan,ON,30,2
R133,occupancy,Fan,>,32,AC,OFF,18,4
R134,time,Light,=,22,Fan,SET,28,3
R135,temperature,Fan,=,32,Light,ON,28,4
R136,occupancy,Light,>,21,Fan,SET,16,3
R137,time,AC,>,18,Light,ON,29,1
R138,occupancy,Fan,<,27,Fan,SET,27,4
R139,temperature,Fan,<,32,Light,OFF,17,4
R140,temperature,Light,=,27,AC,ON,20,3
R141,temperature,Light,<,25,Light,SET,17,5
R142,occupancy,AC,=,28,AC,OFF,30,3
R143,time,Fan,>,20,AC,SET,29,5
R144,temperature,AC,<,33,Fan,ON,22,4
R145,occupancy,Fan,>,22,Light,ON,29,2
R146,time,Fan,<,26,Light,OFF,22,3
R147,temperature,Light,<,32,AC,SET,25,1
R148,temperature,Light,>,27,Fan,OFF,26,1
R149,occupancy,Light,=,27,Light,ON,24,4
R150,time,AC,>,29,Light,ON,22,5
R151,occupancy,AC,>,27,Light,OFF,30,5
R152,time,Fan,<,21,AC,OFF,19,2
R153,occupancy,AC,>,31,Fan,SET,19,2
R154,occupancy,AC,=,35,Light,ON,28,5
R155,occupancy,Light,=,17,AC,OFF,30,4
R156,temperature,AC,<,31,AC,SET,26,1
R157,temperature,Light,<,27,AC,OFF,18,2
R158,time,Fan,<,30,AC,OFF,28,5
R159,occupancy,Fan,>,25,Light,SET,19,2
R160,time,Light,>,21,AC,ON,27,1
R161,time,Fan,=,29,Fan,ON,29,5
R162,time,Fan,<,31,Light,SET,20,1
R163,occupancy,AC,=,19,AC,OFF,26,2
R164,temperature,Light,>,32,Fan,OFF,19,1
R165,time,AC,<,16,AC,OFF,26,5
R166,time,Light,<,35,Fan,OFF,26,4
R167,temperature,AC,>,26,AC,ON,25,3
R168,temperature,AC,<,20,Fan,SET,30,2
R169,occupancy,AC,<,30,Fan,OFF,21,4
R170,occupancy,AC,>,19,Light,SET,28,3
R171,time,AC,>,19,Fan,SET,24,3
R172,occupancy,AC,=,28,AC,OFF,24,1
R173,temperature,Light,=,31,Light,SET,29,4
R174,time,AC,=,25,Fan,OFF,21,2
R175,time,Light,>,27,Light,SET,24,5
R176,time,Fan,>,28,Light,OFF,27,4
R177,time,AC,=,26,AC,ON,18,5
R178,time,AC,<,25,Fan,SET,17,1
R179,occupancy,Light,<,29,Light,SET,23,4
R180,time,Light,>,32,Light,OFF,24,5
R181,occupancy,Light,>,23,Light,ON,21,4
R182,time,Light,<,34,AC,SET,27,3
R183,temperature,Fan,=,30,AC,ON,19,5
R184,time,AC,=,24,Fan,OFF,19,1
R185,occupancy,Fan,>,28,Light,OFF,19,5
R186,time,Fan,<,34,Light,SET,30,4
R187,occupancy,Light,>,31,Light,SET,26,4
R188,time,AC,>,33,Light,ON,26,2
R189,temperature,AC,=,24,AC,ON,24,1
R190,occupancy,Light,>,28,AC,SET,21,4
R191,temperature,Fan,=,26,AC,OFF,20,4
R192,time,Light,<,30,AC,ON,26,5
R193,time,Light,=,16,AC,SET,27,1
R194,occupancy,Light,=,31,AC,SET,20,3
R195,temperature,Fan,=,25,Light,SET,27,2
R196,time,Fan,=,20,Light,OFF,20,4
R197,time,Fan,>,30,AC,ON,25,1
R198,occupancy,AC,>,22,Fan,ON,19,3
R199,temperature,Fan,<,27,Light,OFF,23,2
R200,time,Fan,>,24,Light,OFF,28,4
R201,temperature,Light,<,26,AC,OFF,19,3
R202,time,Fan,=,34,Fan,ON,25,1
R203,temperature,Fan,<,18,Light,OFF,30,1
R204,time,Light,>,29,AC,SET,26,2
R205,time,Fan,<,28,Fan,SET,30,1
R206,time,Fan,=,24,Fan,OFF,18,5
R207,time,AC,>,25,AC,ON,21,4
R208,occupancy,Light,>,17,AC,OFF,18,5
R209,occupancy,Light,<,20,Fan,ON,21,4
R210,time,Fan,>,26,Light,OFF,16,4
R211,occupancy,Light,>,31,AC,SET,24,1
R212,time,Fan,<,28,Fan,ON,27,5
R213,occupancy,AC,=,28,AC,SET,20,1
R214,time,AC,=,28,Light,SET,30,5
R215,temperature,Fan,>,30,Fan,ON,22,5
R216,time,AC,=,17,Light,OFF,21,3
R217,temperature,Fan,<,28,AC,SET,16,5
R218,temperature,AC,<,20,Light,SET,30,4
R219,temperature,Light,>,28,Fan,ON,16,3
R220,occupancy,Light,=,17,Fan,SET,29,4
R221,time,AC,=,27,AC,ON,29,1
R222,time,Light,=,23,Light,SET,22,4
R223,occupancy,Light,>,35,Fan,ON,25,4
R224,time,Fan,<,31,Light,SET,16,4
R225,occupancy,Light,=,34,Light,OFF,28,3
R226,temperature,AC,=,34,Light,OFF,22,1
R227,time,Fan,<,33,AC,SET,29,1
R228,occupancy,Light,>,34,AC,ON,19,1
R229,time,AC,<,32,Light,ON,19,2
R230,occupancy,AC,>,18,AC,OFF,22,4
R231,time,AC,<,31,Fan,SET,17,3
R232,time,AC,=,24,AC,ON,27,5
R233,time,AC,=,34,Fan,SET,28,3
R234,occupancy,Fan,=,27,Fan,ON,24,4
R235,time,AC,=,27,Fan,ON,30,2
R236,temperature,Fan,=,31,Light,SET,16,5
R237,occupancy,Light,>,20,Light,ON,28,1
R238,time,AC,>,27,AC,ON,24,5
R239,occupancy,Fan,>,27,Light,SET,30,5
R240,temperature,Light,<,25,Fan,OFF,18,5
R241,occupancy,Light,<,24,Fan,SET,20,3
R242,time,AC,<,20,Light,OFF,19,3
R243,temperature,Light,<,17,Light,ON,24,1
R244,temperature,Fan,<,25,Fan,SET,28,4
R245,temperature,Light,>,16,Fan,SET,24,3
R246,temperature,Light,=,33,Light,ON,29,1
R247,occupancy,Fan,<,24,Fan,OFF,22,5
R248,temperature,Fan,=,33,Fan,SET,22,2
R249,temperature,Fan,<,23,AC,OFF,19,3
R250,occupancy,Fan,=,34,Fan,OFF,19,4
R251,temperature,AC,>,29,AC,OFF,24,5
R252,temperature,Fan,>,21,AC,SET,23,1
R253,occupancy,Light,<,23,Fan,ON,21,5
R254,temperature,AC,=,25,AC,OFF,21,2
R255,time,Fan,>,29,AC,ON,25,3
R256,occupancy,Fan,>,35,AC,SET,20,5
R257,occupancy,Fan,>,29,Fan,SET,16,4
R258,time,Light,>,35,Light,SET,17,3
R259,occupancy,Light,>,28,Fan,OFF,21,4
R260,temperature,Light,=,32,Fan,SET,24,4
R261,occupancy,Light,=,27,Light,OFF,29,5
R262,occupancy,AC,>,35,Light,OFF,20,1
R263,occupancy,Fan,>,29,AC,OFF,29,5
R264,time,Fan,<,24,Fan,OFF,23,2
R265,occupancy,Fan,=,21,AC,OFF,18,2
R266,temperature,Light,<,30,Fan,SET,22,3
R267,temperature,Light,=,32,Fan,SET,21,1
R268,occupancy,Light,=,23,AC,OFF,27,5
R269,temperature,Light,>,17,Fan,SET,25,1
R270,temperature,Fan,=,19,Fan,OFF,19,3
R271,occupancy,Fan,<,17,Fan,OFF,27,5
R272,time,AC,<,25,AC,ON,20,5
R273,occupancy,AC,>,22,Light,ON,19,4
R274,temperature,Fan,>,22,Fan,ON,30,4
R275,temperature,Light,<,26,Light,SET,26,3
R276,time,Fan,>,32,AC,ON,27,5
R277,time,Fan,>,32,Fan,ON,24,5
R278,occupancy,Light,<,32,Light,SET,29,3
R279,time,AC,<,29,AC,ON,16,4
R280,time,AC,=,32,Light,OFF,19,4
R281,occupancy,AC,=,31,Light,OFF,25,4
R282,occupancy,Fan,>,17,Light,SET,26,3
R283,occupancy,Light,>,30,Light,OFF,18,3
R284,time,Light,=,16,Light,OFF,17,2
R285,temperature,AC,=,21,Light,OFF,18,5
R286,occupancy,Fan,=,21,Fan,OFF,20,2
R287,occupancy,Fan,=,25,Light,ON,17,1
R288,time,Fan,>,18,Fan,OFF,23,4
R289,occupancy,Light,=,30,AC,ON,20,5
R290,time,AC,=,34,Light,OFF,23,5
R291,time,Light,=,25,AC,ON,23,5
R292,occupancy,AC,=,33,AC,SET,21,3
R293,temperature,Fan,=,31,AC,SET,22,4
R294,time,Fan,>,30,Light,ON,27,5
R295,temperature,AC,>,29,Light,OFF,22,1
R296,occupancy,AC,=,19,Fan,ON,22,1
R297,time,Fan,>,21,Fan,ON,29,5
R298,time,Fan,=,33,AC,OFF,17,2
R299,occupancy,AC,<,18,AC,SET,23,5
R300,temperature,AC,<,22,Light,OFF,16,2
R301,time,AC,>,29,Light,OFF,20,5
R302,time,Fan,=,19,Fan,SET,23,2
R303,temperature,Fan,<,26,Light,ON,22,5
R304,temperature,Fan,<,27,Light,OFF,21,4
R305,occupancy,Fan,>,16,Fan,ON,27,3
R306,time,Fan,=,20,Fan,SET,16,4
R307,occupancy,Fan,=,33,Light,ON,25,2
R308,time,AC,>,33,Fan,SET,28,5
R309,occupancy,AC,>,26,Fan,SET,24,4
R310,occupancy,Light,>,17,Light,OFF,16,4
R311,temperature,AC,<,18,Fan,OFF,16,1
R312,occupancy,Light,>,19,Fan,SET,22,3
R313,temperature,Fan,=,19,AC,SET,21,1
R314,time,Fan,>,23,Light,OFF,20,4
R315,temperature,Fan,=,27,AC,SET,16,3
R316,temperature,Light,<,17,Light,OFF,24,3
R317,time,Light,<,16,Fan,ON,29,2
R318,time,Light,<,25,Light,SET,28,1
R319,occupancy,Fan,<,27,Light,SET,27,2
R320,time,Light,>,28,AC,SET,24,1
R321,temperature,Fan,>,21,Fan,OFF,21,3
R322,occupancy,Fan,>,32,Light,SET,19,1
R323,temperature,Fan,=,21,Fan,OFF,20,1
R324,time,Light,=,29,Fan,SET,27,5
R325,temperature,AC,>,17,Fan,SET,21,5
R326,temperature,AC,<,33,Light,SET,28,5
R327,time,Light,>,26,AC,OFF,20,4
R328,temperature,Fan,>,30,AC,SET,25,5
R329,time,AC,>,31,AC,SET,25,4
R330,time,Fan,=,33,AC,ON,19,4
R331,temperature,Fan,<,35,AC,ON,26,5
R332,temperature,Fan,>,19,Fan,SET,20,1
R333,occupancy,Fan,>,27,Fan,OFF,19,4
R334,temperature,AC,<,19,AC,ON,23,3
R335,occupancy,Fan,<,21,AC,SET,28,5
R336,time,Light,=,34,Fan,OFF,23,4
R337,occupancy,Light,>,34,Light,OFF,24,1
R338,time,Fan,>,23,AC,OFF,28,1
R339,occupancy,Fan,>,24,AC,OFF,22,1
R340,temperature,Fan,>,29,Fan,OFF,16,3
R341,occupancy,Fan,>,29,Fan,OFF,20,1
R342,occupancy,Light,=,20,Light,SET,30,5
R343,occupancy,Fan,=,27,Fan,SET,17,5
R344,time,AC,>,30,Light,SET,16,5
R345,occupancy,Fan,<,20,AC,SET,25,5
R346,temperature,Fan,>,35,Fan,SET,30,2
R347,occupancy,Fan,>,31,Light,SET,22,2
R348,temperature,Fan,=,19,Fan,SET,22,4
R349,occupancy,AC,<,19,AC,OFF,21,1
R350,temperature,Fan,<,26,Fan,OFF,17,2
R351,time,Fan,=,20,AC,ON,19,2
R352,time,Light,<,27,AC,OFF,29,1
R353,temperature,Fan,>,27,AC,SET,29,3
R354,occupancy,Fan,<,33,Light,OFF,26,1
R355,temperature,Light,=,21,Light,SET,16,3
R356,occupancy,AC,>,28,AC,ON,19,4
R357,occupancy,Light,=,22,Fan,ON,24,2
R358,temperature,AC,<,31,AC,SET,23,2
R359,temperature,Fan,>,30,Fan,ON,30,2
R360,time,Fan,<,35,Fan,OFF,30,4
R361,time,Light,=,25,Fan,SET,24,1
R362,occupancy,Fan,=,20,Light,SET,20,4
R363,occupancy,AC,>,22,Fan,SET,23,5
R364,occupancy,AC,=,28,Fan,SET,24,4
R365,occupancy,AC,=,26,AC,SET,22,5
R366,time,Light,=,22,AC,OFF,16,4
R367,temperature,AC,=,22,AC,ON,23,4
R368,occupancy,Fan,>,25,AC,SET,30,1
R369,temperature,AC,>,22,AC,SET,26,5
R370,occupancy,Light,>,19,Fan,SET,22,1
R371,occupancy,AC,>,29,AC,SET,24,1
R372,temperature,AC,=,32,Light,ON,27,5
R373,time,AC,>,19,Fan,SET,20,3
R374,time,Fan,=,19,Fan,ON,23,5
R375,temperature,Fan,=,18,AC,OFF,26,1
R376,occupancy,Light,<,21,AC,OFF,27,1
R377,occupancy,Fan,<,17,AC,OFF,22,1
R378,time,Fan,<,33,Light,ON,25,2
R379,temperature,AC,=,33,Light,ON,18,3
R380,occupancy,AC,<,17,Fan,SET,18,1
R381,temperature,Fan,>,18,Fan,ON,29,5
R382,occupancy,Fan,=,16,Fan,SET,18,5
R383,time,AC,>,34,Light,SET,23,5
R384,time,Fan,=,28,Fan,OFF,30,2
R385,occupancy,AC,<,33,AC,ON,28,5
R386,occupancy,AC,<,17,Fan,SET,19,2
R387,occupancy,Light,=,30,AC,ON,30,1
R388,occupancy,AC,>,35,AC,ON,25,5
R389,temperature,Fan,=,28,AC,ON,22,1
R390,temperature,Light,>,25,Fan,OFF,20,1
R391,time,Light,=,33,Light,OFF,25,4
R392,temperature,AC,<,23,Light,ON,17,2
R393,occupancy,Light,>,21,AC,ON,25,2
R394,occupancy,Fan,<,17,AC,SET,20,2
R395,time,Light,=,25,Fan,SET,28,2
R396,occupancy,Light,>,32,Light,OFF,22,2
R397,occupancy,Fan,<,33,AC,OFF,16,5
R398,occupancy,AC,=,24,Fan,SET,19,5
R399,occupancy,Light,>,31,Fan,OFF,21,5
R400,time,Light,>,24,Fan,SET,24,3
R401,temperature,Fan,>,16,Light,SET,23,4
R402,time,Light,=,17,Light,OFF,19,1
R403,temperature,AC,=,18,AC,OFF,28,2
R404,occupancy,AC,<,22,AC,SET,19,5
R405,temperature,Light,<,24,AC,OFF,17,4
R406,temperature,Fan,>,18,Light,ON,26,3
R407,temperature,AC,>,29,AC,ON,18,3
R408,occupancy,AC,>,28,Light,ON,20,5
R409,temperature,AC,>,19,Fan,OFF,17,4
R410,occupancy,AC,>,19,AC,ON,17,5
R411,occupancy,AC,=,34,Fan,ON,21,4
R412,occupancy,AC,<,19,Light,SET,26,3
R413,time,AC,=,18,Light,SET,30,3
R414,time,Fan,<,30,AC,ON,26,1
R415,occupancy,AC,<,35,Fan,ON,17,4
R416,occupancy,Fan,>,24,AC,OFF,19,2
R417,time,Light,>,32,Fan,ON,23,2
R418,temperature,Fan,<,29,AC,ON,18,4
R419,occupancy,AC,<,30,Fan,SET,23,2
R420,occupancy,Light,>,27,Fan,ON,17,3
R421,occupancy,AC,>,31,Light,OFF,25,2
R422,time,AC,<,19,Fan,OFF,24,3
R423,occupancy,Light,=,35,Light,SET,17,5
R424,occupancy,AC,>,31,AC,SET,21,5
R425,temperature,Fan,>,24,AC,ON,18,1
R426,occupancy,Fan,<,25,Fan,SET,23,5
R427,temperature,Fan,>,31,Light,ON,20,2
R428,temperature,Light,<,28,Light,SET,21,1
R429,occupancy,Light,<,31,Light,OFF,29,1
R430,temperature,AC,>,18,Fan,ON,22,3
R431,temperature,Fan,>,22,Light,OFF,30,1
R432,temperature,Light,>,30,AC,ON,24,1
R433,temperature,Light,=,18,Fan,ON,18,5
R434,temperature,Fan,=,28,Fan,ON,29,3
R435,occupancy,AC,>,34,AC,OFF,26,1
R436,time,Fan,>,28,Light,SET,16,3
R437,time,AC,<,18,AC,OFF,22,5
R438,occupancy,Light,>,25,Light,ON,27,3
R439,temperature,Fan,<,25,Light,ON,22,3
R440,occupancy,Light,>,20,AC,ON,29,3
R441,temperature,Fan,>,18,AC,SET,22,4
R442,time,AC,>,32,Light,OFF,28,4
R443,occupancy,Light,>,23,Fan,ON,30,3
R444,time,Fan,>,18,Fan,OFF,20,4
R445,occupancy,AC,>,19,Fan,OFF,28,3
R446,occupancy,AC,<,17,Fan,SET,26,3
R447,occupancy,Light,>,31,Light,ON,17,1
R448,temperature,Light,<,23,Light,SET,17,3
R449,time,Light,=,17,Light,ON,23,4
R450,time,Light,=,26,Fan,OFF,27,5
R451,occupancy,Light,=,23,AC,ON,20,1
R452,temperature,Light,<,25,Fan,SET,20,3
R453,occupancy,Fan,=,23,Fan,ON,26,2
R454,time,AC,<,35,Fan,SET,16,4
R455,temperature,Light,<,20,Fan,SET,29,4
R456,temperature,Fan,>,24,AC,ON,28,4
R457,time,AC,>,19,Light,ON,21,4
R458,time,Light,=,30,Fan,OFF,26,5
R459,temperature,Fan,>,34,AC,SET,21,5
R460,time,AC,=,27,Fan,SET,30,3
R461,time,AC,=,24,Fan,ON,27,5
R462,temperature,Light,>,28,AC,OFF,27,4
R463,time,Fan,>,29,Light,SET,17,2
R464,temperature,Fan,>,28,AC,SET,27,3
R465,occupancy,AC,=,33,Light,SET,27,5
R466,time,Light,>,18,AC,ON,18,4
R467,time,Light,<,35,AC,ON,30,4
R468,time,AC,>,18,AC,ON,21,2
R469,occupancy,AC,<,16,Light,OFF,27,4
R470,temperature,Fan,>,29,AC,SET,27,3
R471,occupancy,Fan,>,22,Fan,SET,28,1
R472,temperature,AC,>,22,Fan,OFF,26,4
R473,occupancy,Fan,>,19,Light,ON,30,4
R474,occupancy,AC,=,24,AC,SET,16,2
R475,occupancy,Fan,<,19,Fan,SET,26,2
R476,time,Light,=,35,Fan,OFF,18,1
R477,occupancy,Light,>,26,AC,ON,29,3
R478,time,Fan,<,33,Fan,ON,23,5
R479,time,AC,<,25,Light,SET,28,5
R480,temperature,Fan,=,27,Fan,OFF,18,2
R481,temperature,Fan,=,18,AC,SET,25,1
R482,temperature,Fan,>,19,Light,ON,30,2
R483,time,Light,>,17,AC,ON,16,2
R484,occupancy,Fan,=,17,AC,OFF,29,2
R485,occupancy,Fan,=,25,Light,OFF,27,5
R486,temperature,AC,=,20,AC,ON,19,2
R487,temperature,Fan,>,32,Fan,ON,30,5
R488,time,Light,=,25,AC,OFF,25,1
R489,temperature,AC,=,27,Light,ON,30,4
R490,occupancy,Fan,=,21,AC,SET,19,2
R491,temperature,AC,>,28,Light,OFF,16,5
R492,time,Light,>,30,AC,ON,21,5
R493,temperature,AC,<,33,Fan,SET,20,2
R494,time,Light,>,33,AC,SET,19,5
R495,occupancy,Light,<,23,Light,SET,17,3
R496,temperature,Fan,>,24,Light,ON,20,2
R497,occupancy,Fan,<,25,AC,ON,23,3
R498,occupancy,Fan,>,27,Fan,ON,26,1
R499,time,AC,<,33,Light,SET,17,2
R500,time,AC,=,33,AC,ON,25,5
R501,time,Light,<,17,AC,SET,27,2
R502,time,Fan,=,33,AC,OFF,21,4
R503,time,AC,<,18,Fan,OFF,22,3
R504,occupancy,AC,>,17,Fan,ON,28,3
R505,temperature,Fan,=,31,AC,OFF,26,4
R506,time,AC,>,18,AC,SET,25,4
R507,temperature,Light,>,19,Light,SET,21,4
R508,occupancy,AC,=,23,Fan,SET,19,2
R509,time,Fan,=,17,AC,ON,23,2
R510,occupancy,Fan,>,22,Fan,SET,25,1
R511,time,AC,<,19,Light,SET,25,2
R512,temperature,Fan,<,32,AC,ON,16,1
R513,occupancy,Fan,>,24,Fan,ON,27,1
R514,occupancy,Fan,=,24,Fan,ON,19,3
R515,temperature,AC,<,26,AC,OFF,25,3
R516,time,Fan,=,23,Fan,SET,28,1
R517,occupancy,AC,>,30,AC,SET,30,1
R518,time,Light,<,31,Light,SET,29,1
R519,time,AC,<,26,AC,SET,30,1
R520,time,Light,<,33,Light,ON,20,5
R521,occupancy,Fan,=,30,Light,OFF,27,4
R522,time,Light,<,24,Fan,SET,18,1
R523,temperature,AC,=,27,AC,OFF,30,3
R524,occupancy,Fan,<,24,AC,SET,25,3
R525,temperature,Light,<,31,Fan,ON,25,1
R526,time,AC,>,18,AC,SET,30,2
R527,occupancy,Fan,>,27,Light,SET,26,1
R528,time,Light,<,16,Light,ON,17,4
R529,occupancy,Fan,<,32,Fan,OFF,16,4
R530,temperature,Fan,>,16,Fan,ON,27,1
R531,occupancy,Fan,=,30,Fan,OFF,24,3
R532,temperature,Fan,<,21,Fan,OFF,22,5
R533,temperature,Light,=,20,Fan,OFF,22,5
R534,occupancy,Fan,<,17,AC,ON,19,3
R535,time,Light,<,18,AC,ON,24,4
R536,temperature,Fan,<,21,Light,ON,26,1
R537,occupancy,Light,>,27,Light,ON,21,5
R538,time,AC,>,26,AC,ON,23,3
R539,temperature,AC,=,29,Light,OFF,20,3
R540,occupancy,AC,>,17,Light,OFF,30,4
R541,temperature,AC,=,30,Fan,ON,23,2
R542,temperature,Fan,<,19,Fan,ON,24,3
R543,occupancy,Fan,=,29,Fan,OFF,21,3
R544,time,AC,<,25,AC,SET,26,5
R545,time,Light,>,18,AC,ON,29,2
R546,occupancy,Fan,=,24,Fan,SET,30,2
R547,time,Light,<,26,Light,SET,17,2
R548,time,Light,=,25,AC,OFF,30,3
R549,temperature,Fan,<,33,Fan,SET,30,3
R550,occupancy,AC,=,25,Light,ON,27,5
R551,time,AC,=,31,AC,OFF,23,5
R552,occupancy,Fan,<,34,Fan,SET,30,4
R553,temperature,AC,<,23,Fan,OFF,29,5
R554,temperature,Light,>,33,Fan,OFF,17,1
R555,occupancy,Light,<,25,Fan,ON,22,5
R556,occupancy,Light,<,17,Light,OFF,25,4
R557,temperature,Light,>,27,AC,SET,22,1
R558,occupancy,Light,=,35,AC,ON,17,3
R559,occupancy,Fan,>,32,Fan,OFF,22,5
R560,occupancy,AC,>,27,Light,OFF,22,5
R561,time,Light,=,29,Fan,ON,16,5
R562,time,Fan,<,31,AC,OFF,20,3
